Age,Income,Score,Experience,Purchases
56,81228,24.21,24,5
69,68984,67.21,30,10
46,60774,76.16,2,5
32,22568,23.76,39,4
60,82592,72.82,23,2
25,87563,36.78,31,10
38,22695,63.23,21,19
56,68190,63.35,22,1
36,25258,53.58,1,5
40,59504,9.03,26,13
28,53159,83.53,1,4
28,33986,32.08,25,16
41,81858,18.65,16,16
53,32666,4.08,39,2
57,58660,59.09,32,17
41,23561,67.76,8,12
20,46854,1.66,38,18
39,84505,51.21,28,3
19,72251,22.65,25,1
41,42662,64.52,34,1
61,28392,17.44,24,19
47,50535,69.09,23,11
55,98603,38.67,12,5
19,72256,93.67,6,12
38,55222,13.75,35,3
50,97373,34.11,19,1
29,99575,11.35,0,1
39,83335,92.47,7,8
61,30965,87.73,15,10
42,44538,25.79,13,11
66,90592,66.0,11,12
44,28110,81.72,22,13
59,99309,55.52,14,12
45,47266,52.97,27,14
33,72992,24.19,33,2
32,26910,9.31,1,19
64,20206,89.72,31,18
68,43419,90.04,22,3
61,70636,63.31,21,17
69,70015,33.9,24,8
20,74268,34.92,21,10
54,38141,72.6,21,2
68,91910,89.71,5,19
24,76044,88.71,14,9
38,87214,77.99,36,7
26,53827,64.2,32,4
56,75820,8.41,7,18
35,82623,16.16,4,13
21,95450,89.86,38,11
42,42299,60.64,3,4
31,63585,0.92,5,4
67,84044,10.15,31,10
26,62557,66.35,29,5
43,69080,0.51,34,9
19,22693,16.08,39,3
37,89163,54.87,15,17
45,45939,69.19,12,3
64,68925,65.2,29,16
24,62941,22.43,18,4
61,41834,71.22,16,18
25,38047,23.72,18,17
64,46105,32.54,27,7
52,95766,74.65,25,5
31,35707,64.96,36,12
34,41976,84.92,25,17
53,64262,65.76,22,13
67,43776,56.83,8,3
57,50080,9.37,11,9
21,86842,36.77,0,17
19,81373,26.52,0,17
23,26776,24.4,33,16
59,75016,97.3,31,13
21,29474,39.31,24,19
46,78053,89.2,39,17
35,41959,63.11,0,4
43,25530,79.48,15,12
61,23748,50.26,38,9
51,33545,57.69,4,19
27,86199,49.25,21,12
53,54766,19.52,28,9
31,93530,72.25,2,7
48,81087,28.08,11,14
65,88840,2.43,25,19
32,74384,64.55,15,15
25,71005,17.71,36,16
31,66576,94.05,21,5
40,59353,95.39,28,3
57,82003,91.49,13,12
38,72733,37.02,27,4
33,85318,1.55,4,16
62,43664,92.83,29,7
35,87172,42.82,4,13
64,46736,96.67,11,10
41,20854,96.36,15,7
43,58623,85.3,25,14
42,27392,29.44,25,5
62,75680,38.51,20,3
58,66717,85.11,38,11
46,70859,31.69,35,11
32,46309,16.95,32,18
